,ListingId,借款金额,借款期限,借款利率,借款成功日期,初始评级,借款类型,是否首标,年龄,性别,手机认证,户口认证,视频认证,学历认证,征信认证,淘宝认证,历史成功借款次数,历史成功借款金额,总待还本金,历史正常还款期数,历史逾期还款期数,我的投资金额,当前到期期数,当前还款期数,已还本金,已还利息,待还本金,待还利息,标当前逾期天数,标当前状态,上次还款日期,上次还款本金,上次还款利息,下次计划还款日期,下次计划还款本金,下次计划还款利息,recorddate
87112,25852270,5456,12,20.0,2016/11/25,C,普通,否,24,女,未成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,3.0,7099.0,4543.59,13,0,58,3,3,13.43,2.68,44.57,3.79,0,正常还款中,2017/1/26,4.55,0.82,2017/3/25,4.64,0.74,2017/2/28
288874,3412703,701,3,9.5,2015/7/29,AA,其他,否,26,女,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,2.0,3835.0,2298.81,3,1,300,3,3,300.0,4.74,0.0,0.0,0,已还清,2015/10/8,100.8,0.78,,,,2016/9/30
131065,3644770,7015,7,10.5,2015/8/17,AA,普通,否,25,男,成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,2.0,8629.0,1913.8,11,0,300,7,7,300.0,10.59,0.0,0.0,0,已还清,2016/1/9,44.01,0.36,,,,2016/12/31
59868,13788165,3960,6,18.0,2016/6/19,B,APP闪电,否,26,男,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,1.0,8000.0,4079.45,3,0,50,6,5,50.0,2.42,0.0,0.0,0,已还清,2016/11/6,17.17,0.15,,,,2017/2/28
234379,12908766,2000,6,18.0,2016/5/28,B,普通,否,35,女,未成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,2.0,11469.0,4453.55,10,0,50,6,6,50.0,2.65,0.0,0.0,0,已还清,2016/11/26,8.65,0.12,,,,2016/11/30
288386,1958904,3738,12,12.0,2015/3/12,AA,普通,否,32,男,已婚,大专,成功认证,未成功认证,未成功认证,未成功认证,,,3.0,9800,5923,11,0,500,12.0,4.0,500.0,13.92,0,0,0,,,380.56,0.1,,
124327,24192219,3900,12,20.0,2016/11/7,C,其他,否,35,男,未成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,2.0,9859.0,5084.03,10,0,58,1,1,4.4,0.97,53.6,5.5,0,正常还款中,2016/12/6,4.4,0.97,2017/1/7,4.48,0.89,2016/12/31
87084,19961934,9708,6,18.0,2016/9/17,B,APP闪电,否,23,男,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,2.0,1079.0,650.44,10,0,50,5,5,41.35,2.53,8.65,0.12,0,正常还款中,2016/10/1,8.52,0.26,2017/3/17,8.65,0.12,2017/2/28
20309,13730066,1934,6,18.0,2016/6/10,B,APP闪电,否,27,男,未成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,1.0,6000.0,4065.75,2,0,50,6,6,50.0,2.65,0.0,0.0,0,已还清,2016/12/9,8.65,0.12,,,,2017/2/28
225007,13327038,5500,12,20.0,2016/6/9,C,APP闪电,是,22,女,成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,0.0,0.0,0.0,0,0,50,5,6,23.76,4.02,26.24,1.55,0,正常还款中,2016/11/22,4.13,0.5,2017/1/9,4.19,0.45,2016/11/30
218649,11263277,4500,12,20.0,2016/4/21,C,普通,否,36,男,成功认证,成功认证,未成功认证,成功认证,未成功认证,未成功认证,2.0,11463.0,4626.06,8,0,52,6,6,24.7,4.16,27.3,1.56,0,正常还款中,2016/10/21,4.29,0.52,2016/11/21,4.36,0.45,2016/10/31
10353,22181292,7360,6,20.0,2016/10/15,C,其他,否,29,男,未成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,2.0,11564.0,5139.02,12,0,58,2,2,18.69,1.78,39.31,1.64,0,正常还款中,2016/12/15,9.42,0.82,2017/1/15,9.59,0.65,2016/12/31
33707,18986152,2214,12,22.0,2016/9/5,C,其他,否,27,男,成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,2.0,6790.0,2285.9,14,2,55,3,3,12.64,2.8,42.36,3.96,0,正常还款中,2016/12/3,4.29,0.86,2017/1/5,4.37,0.77,2016/12/31
37169,13429237,507,6,18.0,2016/6/9,B,APP闪电,否,31,女,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,5.0,10270.0,8197.63,13,0,50,6,6,50.0,2.65,0.0,0.0,0,已还清,2016/9/16,8.65,0.12,,,,2016/12/31
284806,2703802,12709,12,18.0,2015/6/18,D,其他,否,40,男,成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,4.0,16856.0,5901.2,22,2,12,12,12,12.0,1.2,0.0,0.0,0,已还清,2016/6/2,1.13,0.0,,,,2016/12/31
174541,19573839,5183,6,18.0,2016/9/14,B,普通,否,22,女,成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,3.0,11622.0,6317.34,12,0,50,1,2,16.17,1.38,33.83,1.27,0,正常还款中,2016/10/31,8.15,0.63,2016/12/14,8.27,0.5,2016/10/31
72449,27739669,6000,12,22.0,2016/12/15,C,普通,否,41,男,成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,2.0,11309.0,1391.48,13,3,55,2,2,8.35,1.94,46.65,4.83,0,正常还款中,2017/2/15,4.22,0.93,2017/3/15,4.29,0.86,2017/2/28
70115,26319355,5000,12,20.0,2016/11/30,C,普通,否,25,男,未成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,2.0,7806.0,3484.48,6,0,58,0,0,0.0,0.0,58.0,6.47,0,正常还款中,,,,2016/12/30,4.4,0.97,2016/11/30
154372,2909739,8000,10,18.0,2015/7/3,C,普通,否,27,女,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,2.0,6000.0,0.0,8,0,20,10,10,20.0,1.6,0.0,0.0,0,已还清,2016/4/17,2.18,0.0,,,,2016/9/30
46102,17381111,3938,9,23.0,2016/8/10,B,普通,否,25,男,未成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,3.0,11984.0,7062.31,14,0,55,4,5,29.39,4.16,25.61,1.24,0,正常还款中,2016/12/29,6.11,0.6,2017/2/9,6.22,0.49,2016/12/31
227126,25985164,4000,12,22.0,2016/11/27,D,APP闪电,是,29,女,未成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,0.0,0.0,0.0,0,0,51,0,0,0.0,0.0,51.0,6.27,0,正常还款中,,,,2016/12/27,3.83,0.94,2016/11/30
160155,7758945,5836,12,20.0,2016/1/17,C,普通,否,33,男,成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,1.0,6250.0,3163.91,3,0,50,8,12,50.0,5.56,0.0,0.0,0,已还清,2016/9/27,4.61,0.02,,,,2016/9/30
100764,28045493,9598,11,18.0,2016/12/18,B,其他,否,27,男,成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,3.0,20133.0,3502.0,25,0,58,2,2,9.85,1.66,48.15,3.68,0,正常还款中,2017/2/16,4.97,0.79,2017/3/18,5.03,0.73,2017/2/28
288909,10795103,3100,6,18.0,2016/4/11,B,APP闪电,否,24,男,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,2.0,3316.0,2999.04,2,0,50,5,5,41.32,2.53,8.68,0.09,0,正常还款中,2016/9/18,8.51,0.26,2016/10/11,8.68,0.09,2016/9/30
41289,21719974,5487,6,18.0,2016/10/9,B,普通,否,46,女,未成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,1.0,8500.0,3013.09,7,1,50,4,4,32.83,2.27,17.17,0.38,0,正常还款中,2017/2/7,8.39,0.39,2017/3/9,8.52,0.26,2017/2/28
192197,13444614,2000,6,18.0,2016/6/13,B,APP闪电,否,25,女,未成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,4.0,10510.0,8409.21,8,0,50,4,4,32.83,2.27,17.17,0.38,0,正常还款中,2016/10/14,8.39,0.39,2016/11/13,8.52,0.26,2016/10/31
150993,17332723,2548,12,22.0,2016/8/9,C,普通,否,32,男,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,4.0,8198.0,2051.93,23,0,55,1,1,4.13,1.01,50.87,5.76,0,正常还款中,2016/9/6,4.13,1.01,2016/10/9,4.22,0.93,2016/9/30
174181,2921425,3300,12,12.0,2015/6/25,AA,普通,否,34,男,成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,2.0,7478.0,4637.44,5,1,300,12,12,300.0,19.8,0.0,0.0,0,已还清,2016/5/1,26.41,0.24,,,,2016/10/31
59329,11662984,4622,6,18.0,2016/5/1,B,其他,否,45,女,未成功认证,未成功认证,成功认证,成功认证,未成功认证,未成功认证,1.0,7000.0,5377.93,3,0,50,6,6,50.0,2.62,0.0,0.0,0,已还清,2016/10/26,8.68,0.09,,,,2016/12/31
63848,28341745,3409,12,18.0,2016/12/21,B,APP闪电,否,26,男,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,4.0,14428.0,10290.45,17,0,50,2,2,7.72,1.44,42.28,3.56,0,正常还款中,2017/1/20,3.89,0.69,2017/3/21,3.95,0.64,2017/2/28
180998,14716383,500,6,18.0,2016/6/28,B,APP闪电,否,41,男,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,2.0,4158.0,3337.38,6,0,50,4,6,50.0,2.65,0.0,0.0,0,已还清,2016/8/9,8.65,0.12,,,,2016/10/31
39034,9622013,3500,12,12.0,2016/3/13,AA,APP闪电,是,28,男,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,0.0,0.0,0.0,0,0,300,9,9,221.59,18.26,78.41,1.54,0,正常还款中,2016/12/17,25.61,1.04,2017/1/13,25.87,0.78,2016/12/31
272634,25993021,4200,6,20.0,2016/11/27,C,其他,否,25,男,未成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,1.0,6500.0,3741.86,3,1,30,0,0,0.0,0.0,30.0,1.77,0,正常还款中,,,,2016/12/27,4.79,0.5,2016/11/30
260263,25308622,3166,9,20.0,2016/11/19,C,其他,否,27,男,成功认证,未成功认证,成功认证,成功认证,未成功认证,未成功认证,11.0,37954.0,8833.76,54,1,58,0,0,0.0,0.0,58.0,4.93,0,正常还款中,,,,2016/12/19,6.02,0.97,2016/11/30
260059,19559807,8000,12,22.0,2016/9/9,C,普通,否,36,男,成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,3.0,15792.0,0.0,22,8,106,2,2,16.1,3.74,89.9,9.31,0,正常还款中,2016/11/9,8.13,1.79,2016/12/9,8.27,1.65,2016/11/30
277603,7499235,10500,12,20.0,2016/1/11,C,普通,否,34,男,成功认证,成功认证,成功认证,未成功认证,成功认证,未成功认证,5.0,19107.0,6118.56,37,1,50,10,5,20.92,3.54,29.08,2.02,143,逾期中,2016/11/14,4.05,0.58,2016/7/11,2.81,0.51,2016/11/30
282609,11601676,2500,12,20.0,2016/4/29,C,其他,否,29,男,成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,3.0,10365.0,6999.49,9,0,52,6,6,24.7,4.16,27.3,1.56,0,正常还款中,2016/10/28,4.29,0.52,2016/11/29,4.36,0.45,2016/10/31
31483,9074118,1750,12,20.0,2016/2/28,C,APP闪电,是,19,女,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,0.0,0.0,0.0,0,0,50,12,12,50.0,5.56,0.0,0.0,0,已还清,2017/2/27,4.61,0.02,,,,2017/2/28
46409,12085090,7968,12,18.0,2016/5/12,B,APP闪电,否,26,男,未成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,2.0,1570.0,1031.69,4,0,50,7,6,23.85,3.63,26.15,1.33,20,逾期中,2016/11/12,4.13,0.45,2016/12/12,4.19,0.39,2016/12/31
252522,10817392,12500,6,18.0,2016/4/11,B,普通,否,26,女,成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,6.0,23397.0,8095.94,26,0,50,6,6,50.0,2.62,0.0,0.0,0,已还清,2016/10/10,8.68,0.09,,,,2016/11/30
281446,21562314,9939,11,20.0,2016/10/7,B,普通,否,40,男,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,2.0,10140.0,4060.83,15,0,55,0,0,0.0,0.0,55.0,5.65,0,正常还款中,,,,2016/11/7,4.59,0.92,2016/10/31
16893,9515582,1297,12,18.0,2016/3/11,B,APP闪电,否,21,男,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,1.0,1000.0,676.55,2,0,50,11,11,50.0,4.82,0.0,0.0,0,已还清,2017/1/14,9.02,0.0,,,,2017/2/28
161369,19711112,4000,6,18.0,2016/9/17,B,APP闪电,否,25,男,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,2.0,2458.0,1623.26,9,0,50,1,1,8.02,0.75,41.98,1.9,0,正常还款中,2016/10/17,8.02,0.75,2016/11/17,8.15,0.63,2016/10/31
155093,9358040,5000,6,20.0,2016/3/6,C,其他,否,29,男,成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,10.0,42291.0,0.0,52,0,50,6,6,50.0,2.92,0.0,0.0,0,已还清,2016/8/21,8.71,0.11,,,,2016/11/30
35380,15352551,4990,6,18.0,2016/7/9,B,普通,否,23,男,成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,3.0,23450.0,13510.1,8,0,50,5,1,50.0,0.55,0.0,0.0,0,已还清,2016/7/31,50.0,0.55,,,,2016/12/31
195689,22542912,14000,6,20.0,2016/10/19,C,普通,否,29,女,成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,2.0,7412.0,3170.92,14,0,58,0,0,0.0,0.0,58.0,3.42,0,正常还款中,,,,2016/11/19,9.27,0.96,2016/10/31
147882,15246971,3810,10,20.0,2016/7/8,C,其他,否,24,女,成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,3.0,9881.0,6189.19,10,1,50,2,2,9.35,1.58,40.65,3.11,0,正常还款中,2016/9/11,4.72,0.75,2016/10/8,4.79,0.68,2016/9/30
138190,3885492,7000,12,22.0,2015/9/13,D,普通,是,29,男,未成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,0.0,0.0,0.0,0,0,20,12,12,20.0,2.47,0.0,0.0,0,已还清,2016/7/22,1.9,0.0,,,,2016/9/30
28005,8163550,3256,12,20.0,2016/1/28,C,普通,否,29,男,成功认证,成功认证,未成功认证,成功认证,未成功认证,未成功认证,10.0,39099.0,14743.71,77,0,50,12,12,50.0,5.56,0.0,0.0,0,已还清,2017/1/25,4.61,0.02,,,,2017/2/28
69383,2052620,3000,12,12.0,2015/3/27,AA,普通,是,44,男,成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,0.0,0.0,0.0,0,0,300,12,12,300.0,19.8,0.0,0.0,0,已还清,2016/3/27,26.42,0.23,,,,2016/10/31
83968,16174176,9000,6,18.0,2016/7/28,B,普通,是,25,女,成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,0.0,0.0,0.0,0,0,60,5,5,49.62,3.03,10.38,0.15,0,正常还款中,2016/12/28,10.22,0.31,2017/1/28,10.38,0.15,2016/12/31
120072,8020364,3900,12,20.0,2016/1/25,C,普通,否,30,女,成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,3.0,9700.0,5066.34,14,0,50,8,4,50.0,2.77,0.0,0.0,0,已还清,2016/5/17,38.43,0.45,,,,2016/9/30
161289,3174712,3000,12,12.0,2015/7/14,AA,普通,是,24,男,成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,0.0,0.0,0.0,0,0,300,12,12,300.0,19.8,0.0,0.0,0,已还清,2016/7/14,26.42,0.23,,,,2016/10/31
190260,11500609,5000,12,20.0,2016/4/27,C,其他,否,23,女,成功认证,未成功认证,成功认证,成功认证,未成功认证,未成功认证,1.0,4000.0,3387.2,2,0,102,6,6,48.43,8.21,53.57,3.07,0,正常还款中,2016/10/10,8.41,1.03,2016/11/27,8.55,0.89,2016/10/31
79008,12616184,1919,12,18.0,2016/5/23,B,APP闪电,否,36,女,成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,1.0,6000.0,5080.8,2,0,50,9,8,32.33,4.34,17.67,0.66,6,逾期中,2017/2/14,4.26,0.33,2017/2/23,4.32,0.26,2017/2/28
7610,9564035,5967,12,20.0,2016/3/12,C,普通,否,33,男,成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,1.0,6000.0,2033.29,4,0,50,9,9,36.51,5.16,13.49,0.4,0,正常还款中,2016/12/13,4.33,0.3,2017/1/12,4.4,0.23,2016/12/31
280627,21936825,3047,12,22.0,2016/10/12,C,普通,否,25,男,成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,1.0,5000.0,3452.86,3,1,58,0,0,0.0,0.0,58.0,7.14,0,正常还款中,,,,2016/11/12,4.36,1.06,2016/10/31
40239,11469493,2219,12,22.0,2016/4/26,D,其他,否,30,男,成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,3.0,9000.0,3780.72,13,1,52,10,10,42.47,6.13,9.53,0.19,0,正常还款中,2017/2/25,4.6,0.26,2017/3/26,4.69,0.17,2017/2/28
290571,12729954,4000,11,18.0,2016/5/23,B,其他,否,27,男,成功认证,未成功认证,成功认证,未成功认证,成功认证,未成功认证,15.0,64412.0,16138.09,65,0,50,4,4,17.24,2.61,32.76,2.0,0,正常还款中,2016/9/5,4.41,0.55,2016/10/23,4.47,0.5,2016/9/30
164925,3515298,8000,12,11.5,2015/8/6,AA,普通,否,31,男,成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,3.0,11728.0,4757.06,12,0,300,12,12,300.0,18.96,0.0,0.0,0,已还清,2016/8/5,26.4,0.18,,,,2016/9/30
158113,15769073,6000,12,22.0,2016/7/18,D,APP闪电,是,26,男,未成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,0.0,0.0,0.0,0,0,50,5,5,19.51,3.88,30.49,2.27,0,正常还款中,2016/12/20,4.04,0.64,2017/1/18,4.12,0.56,2016/12/31
163749,27544164,4004,11,20.0,2016/12/13,C,普通,否,24,男,成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,2.0,8961.0,4995.96,4,0,58,0,0,0.0,0.0,58.0,5.95,0,正常还款中,,,,2017/1/13,4.84,0.97,2016/12/31
125435,8594867,12000,9,20.0,2016/2/16,C,普通,否,30,男,未成功认证,未成功认证,未成功认证,成功认证,成功认证,未成功认证,6.0,21660.0,0.0,31,0,50,7,7,38.21,3.93,11.79,0.25,0,正常还款中,2016/9/16,5.73,0.29,2016/10/16,5.83,0.19,2016/9/30
141048,8111796,2100,12,20.0,2016/1/28,C,其他,否,24,男,成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,5.0,12180.0,7394.77,15,3,50,8,8,32.18,4.86,17.82,0.7,0,正常还款中,2016/9/26,4.26,0.37,2016/10/28,4.33,0.3,2016/9/30
272437,18613345,4560,12,22.0,2016/8/27,C,普通,否,45,女,成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,10.0,69619.0,15439.75,35,12,55,3,3,12.64,2.8,42.36,3.97,0,正常还款中,2016/11/25,4.29,0.86,2016/12/27,4.37,0.78,2016/11/30
252995,18155481,2942,12,22.0,2016/8/21,C,其他,否,25,女,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,1.0,2000.0,1557.58,3,0,55,3,1,4.13,1.01,50.87,5.76,41,逾期中,2016/10/7,4.13,1.01,2016/10/21,4.22,0.93,2016/11/30
104367,1618005,4500,12,22.0,2015/1/17,E,普通,否,25,男,成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,2.0,6200.0,2936.91,9,1,50,12,12,50.0,6.04,0.0,0.0,0,已还清,2016/1/18,4.63,0.04,,,,2016/9/30
274900,1730711,3000,7,12.0,2015/1/28,AA,普通,是,31,男,成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,0.0,0.0,0.0,0,0,400,7,7,400.0,16.15,0.0,0.0,0,已还清,2015/8/28,58.88,0.57,,,,2016/10/31
207284,21031129,3157,6,20.0,2016/9/29,C,普通,否,36,女,成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,5.0,15317.0,8343.22,20,1,50,1,1,7.99,0.83,42.01,2.12,0,正常还款中,2016/10/26,7.99,0.83,2016/11/29,8.12,0.71,2016/10/31
267350,22266008,4513,11,20.0,2016/10/16,C,其他,否,25,女,成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,2.0,8031.0,4986.14,10,0,58,0,1,4.84,0.97,53.16,4.98,0,正常还款中,2016/10/16,4.84,0.97,2016/12/16,4.93,0.88,2016/10/31
182067,1980691,3796,10,12.0,2015/3/18,AA,普通,否,42,男,成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,1.0,3000.0,1311.35,3,1,100,10,9,100.0,5.38,0.0,0.0,0,已还清,2015/12/14,20.85,0.13,,,,2016/12/31
252356,3406591,1500,12,11.5,2015/7/30,AA,普通,是,22,男,成功认证,未成功认证,成功认证,未成功认证,未成功认证,未成功认证,0.0,0.0,0.0,0,0,300,12,10,300.0,18.13,0.0,0.0,0,已还清,2016/5/27,78.29,0.62,,,,2016/11/30
176505,15876865,5000,8,20.0,2016/7/18,C,其他,否,28,女,成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,1.0,5500.0,2913.2,6,0,50,2,2,11.88,1.57,38.12,0.64,0,正常还款中,2016/9/9,5.99,0.74,2016/10/18,6.09,0.64,2016/9/30
193969,1933826,4511,9,12.0,2015/3/10,AA,普通,否,23,男,成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,1.0,3000.0,0.0,5,0,500,9,9,500.0,25.24,0.0,0.0,0,已还清,2015/12/10,57.83,0.53,,,,2016/10/31
233164,21776422,5800,12,18.0,2016/10/10,B,APP闪电,否,28,女,未成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,2.0,5500.0,4646.82,7,0,50,1,1,3.83,0.75,46.17,4.25,0,正常还款中,2016/11/17,3.83,0.75,2016/12/10,3.89,0.69,2016/11/30
76942,20865659,4000,6,18.0,2016/9/27,B,APP闪电,否,20,女,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,1.0,4000.0,3698.96,1,0,50,5,4,32.83,2.27,17.17,0.38,2,逾期中,2017/1/21,8.39,0.39,2017/2/27,8.52,0.26,2017/2/28
280489,21688820,8637,6,18.0,2016/10/9,B,APP闪电,否,29,男,未成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,1.0,2000.0,862.47,7,0,50,0,0,0.0,0.0,50.0,2.65,0,正常还款中,,,,2016/11/9,8.02,0.75,2016/10/31
244852,9366083,10000,9,10.0,2016/3/11,AA,其他,是,28,男,成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,0.0,0.0,0.0,0,0,500,8,5,500.0,14.33,0.0,0.0,0,已还清,2016/7/16,282.41,0.36,,,,2016/11/30
218674,13668477,8639,12,18.0,2016/6/18,B,APP闪电,否,26,男,未成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,3.0,3096.0,1063.59,14,0,50,4,4,15.68,2.65,34.32,2.35,0,正常还款中,2016/10/17,4.01,0.57,2016/11/18,4.07,0.51,2016/10/31
45602,23988283,3349,12,18.0,2016/11/5,B,其他,否,27,女,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,6.0,21272.0,11600.85,23,0,50,3,3,11.67,2.08,38.33,2.92,0,正常还款中,2017/2/5,3.95,0.64,2017/3/5,4.01,0.57,2017/2/28
217038,14013389,7000,12,20.0,2016/6/21,C,普通,是,30,女,未成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,0.0,0.0,0.0,0,0,51,5,5,20.02,3.6,30.98,2.09,0,正常还款中,2016/11/20,4.14,0.59,2016/12/21,4.21,0.51,2016/11/30
140899,4074982,4000,12,11.0,2015/9/10,AA,普通,是,29,男,成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,0.0,0.0,0.0,0,0,500,12,12,500.0,30.28,0.0,0.0,0,已还清,2016/9/10,43.84,0.35,,,,2016/9/30
250033,21746571,6730,12,18.0,2016/10/10,B,APP闪电,否,34,男,未成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,4.0,5649.0,3669.13,14,0,50,1,1,3.83,0.75,46.17,4.25,0,正常还款中,2016/11/2,3.83,0.75,2016/12/10,3.89,0.69,2016/11/30
258268,18152446,3364,12,22.0,2016/8/21,C,普通,否,30,男,成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,1.0,5000.0,2636.1,6,0,55,3,3,12.64,2.8,42.36,3.97,0,正常还款中,2016/11/13,4.29,0.86,2016/12/21,4.37,0.78,2016/11/30
38799,27174098,3500,12,18.0,2016/12/9,B,其他,否,34,女,未成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,2.0,9573.0,6499.94,6,0,50,2,2,7.72,1.44,42.28,3.56,0,正常还款中,2017/1/28,3.89,0.69,2017/3/9,3.95,0.64,2017/2/28
86783,26840137,3000,6,18.0,2016/12/6,B,其他,否,23,男,未成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,1.0,8700.0,6007.99,4,0,108,2,2,34.93,2.98,73.07,2.75,0,正常还款中,2017/2/5,17.6,1.36,2017/3/6,17.86,1.09,2017/2/28
48711,11411410,5400,11,20.0,2016/4/25,C,普通,否,28,男,成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,2.0,18000.0,12221.67,5,0,52,8,8,36.82,4.86,15.18,0.45,0,正常还款中,2016/12/22,4.87,0.34,2017/1/25,4.96,0.25,2016/12/31
171049,3659596,5500,6,10.5,2015/8/17,AA,普通,是,40,男,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,0.0,0.0,0.0,0,0,300,6,6,300.0,9.24,0.0,0.0,0,已还清,2016/2/17,51.12,0.42,,,,2016/11/30
185705,12095277,7735,12,20.0,2016/5/10,C,其他,否,30,男,成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,1.0,8000.0,2764.57,8,0,52,4,4,16.19,3.05,35.81,2.67,0,正常还款中,2016/9/9,4.15,0.66,2016/10/10,4.22,0.59,2016/9/30
82024,17348660,3864,12,22.0,2016/8/9,C,普通,否,26,男,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,1.0,5000.0,2636.1,6,0,55,4,4,17.01,3.58,37.99,3.19,0,正常还款中,2016/12/9,4.37,0.78,2017/1/9,4.45,0.69,2016/12/31
289539,15140660,9500,9,18.0,2016/7/7,B,普通,是,28,女,成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,0.0,0.0,0.0,0,0,50,5,6,32.58,3.3,17.42,0.52,0,正常还款中,2016/12/31,5.64,0.34,2017/2/7,5.72,0.26,2016/12/31
236845,2659805,5371,8,11.0,2015/6/2,AA,普通,否,26,女,成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,2.0,6900.0,2046.62,11,2,415,8,2,415.0,4.57,0.0,0.0,0,已还清,2015/7/9,364.77,0.77,,,,2016/11/30
192280,3666232,8276,6,18.0,2015/8/14,D,其他,否,26,男,成功认证,成功认证,未成功认证,成功认证,未成功认证,未成功认证,3.0,10750.0,3964.57,16,1,15,6,6,15.0,0.78,0.0,0.0,0,已还清,2016/2/14,2.62,0.01,,,,2016/10/31
